periodo;sexo;comunitat_valenciana;prov_alicante;prov_castellon;prov_valencia;dpto_salud_vinaros;dpto_salud_castello;dpto_salud_laplana;dpto_salud_sagunt;dpto_salud_clinic_malvarrosa;dpto_salud_vilanova_lliria;dpto_salud_valencia_lafe;dpto_salud_requena;dpto_salud_valencia_hospital_general;dpto_salud_doctor_peset;dpto_salud_ribera;dpto_salud_gandia;dpto_salud_denia;dpto_salud_xativa_ontinyent;dpto_salud_alcoi;dpto_salud_marina_baixa;dpto_salud_sant_joan_alacant;dpto_salud_elda;dpto_salud_alacant_hospital_general;dpto_salud_elx_hospital_general;dpto_salud_orihuela;dpto_salud_torrevieja;dpto_salud_manises;dpto_salud_elx_crevillent
2010;Ambos sexos;20.6;21.3;20.5;20.1;20.8;21.1;20.2;20.8;20.5;20.3;20.5;19.5;20.6;20.9;19.8;20.6;21.3;19.8;20.2;22.3;21.5;20.2;20.8;21.6;19.8;24.9;20.2;19
2010;Hombres;18.5;19.7;18.5;17.7;18.6;19.1;18.2;18.8;17.8;18;17.4;18.2;18.1;18.8;17.7;18;19.6;17.6;18.1;20.2;19.2;17.9;18.1;19.4;18.2;23.7;18.2;17.4
2010;Mujeres;22.4;22.9;22.3;22.1;23;22.9;22;22.5;22.8;22.3;23.3;20.8;22.6;22.5;21.7;23.1;22.9;21.9;22.2;24.3;23.5;22.3;23.1;23.7;21.2;26.3;22.1;20.4
2011;Ambos sexos;20.8;21.7;20.6;20.2;20.7;21.3;20;20.5;21.2;20.4;21.1;20;20.6;20.5;19.6;20.5;22.4;20;20.6;22.5;21.6;21.1;20.3;21.4;19.6;26.1;20.1;20.6
2011;Hombres;18.7;20.1;18.5;17.8;18.9;19.1;17.8;18.2;18.7;18.3;18.8;18.4;17.8;17.8;17.6;17.8;20.7;17.8;18.3;20.7;19.6;19.1;18.1;19.2;17.7;25.1;18.4;18.5
2011;Mujeres;22.6;23.3;22.5;22.2;22.4;23.3;22.1;22.6;23.3;22.2;23;21.6;23;22.8;21.5;23.1;24.1;22;22.5;24.2;23.3;22.9;22.3;23.3;21.5;27.5;21.6;22.5
2012;Ambos sexos;20.7;21.4;20.8;20.2;20.8;21;20.5;20.3;21.1;19.6;20.8;20.8;20.6;21.7;19.6;19.9;20.4;19.4;19.9;20.2;20.8;19.9;20.4;20.8;20.7;22.2;19.7;19.8
2012;Hombres;18.7;19.6;18.6;18.1;18.6;18.7;18.4;18;18.7;18.2;18.4;19.7;18.5;19;17.3;17.9;18.5;17.8;17.5;18;18.5;18.1;17.8;18.7;18.3;20.6;17.8;17.9
2012;Mujeres;22.4;23;22.8;22;22.9;23.1;22.4;22.4;23.1;20.9;22.8;21.8;22.3;23.9;21.6;21.8;22.1;20.8;22.1;22.4;22.7;21.4;22.8;22.8;23.2;24;21.5;21.6
2013;Ambos sexos;21.3;22.1;21;20.8;21.1;21.2;20.7;20.7;21.5;20.2;21.3;20.5;20.9;22.6;20.2;20.4;21.2;20.8;20.3;21.5;21;21.2;21.7;21.3;20.9;23.4;20.9;20.4
