periodo;sexo;comunitat_valenciana;prov_alicante;prov_castellon;prov_valencia;dpto_salud_vinaros;dpto_salud_castello;dpto_salud_laplana;dpto_salud_sagunt;dpto_salud_clinic_malvarrosa;dpto_salud_vilanova_lliria;dpto_salud_valencia_lafe;dpto_salud_requena;dpto_salud_valencia_hospital_general;dpto_salud_doctor_peset;dpto_salud_ribera;dpto_salud_gandia;dpto_salud_denia;dpto_salud_xativa_ontinyent;dpto_salud_alcoi;dpto_salud_marina_baixa;dpto_salud_sant_joan_alacant;dpto_salud_elda;dpto_salud_alacant_hospital_general;dpto_salud_elx_hospital_general;dpto_salud_orihuela;dpto_salud_torrevieja;dpto_salud_manises;dpto_salud_elx_crevillent
2010;Ambos sexos;233.7;211.81;236.63;250.62;216.99;226;244.93;247.24;254.04;242.59;248.49;218.78;248.35;241.04;247.25;230.93;228.93;255.52;247.48;207.11;224.58;239.59;237.59;229.29;239.16;163.58;251.8;297.48
2010;Ambos sexos;233.7;211.81;236.63;250.62;216.99;226;244.93;247.24;254.04;242.59;248.49;218.78;248.35;241.04;247.25;230.93;228.93;255.52;247.48;207.11;224.58;239.59;237.59;229.29;239.16;163.58;251.8;297.48
2010;Ambos sexos;233.7;211.81;236.63;250.62;216.99;226;244.93;247.24;254.04;242.59;248.49;218.78;248.35;241.04;247.25;230.93;228.93;255.52;247.48;207.11;224.58;239.59;237.59;229.29;239.16;163.58;251.8;297.48
2010;Ambos sexos;233.7;211.81;236.63;250.62;216.99;226;244.93;247.24;254.04;242.59;248.49;218.78;248.35;241.04;247.25;230.93;228.93;255.52;247.48;207.11;224.58;239.59;237.59;229.29;239.16;163.58;251.8;297.48
2010;Ambos sexos;233.7;211.81;236.63;250.62;216.99;226;244.93;247.24;254.04;242.59;248.49;218.78;248.35;241.04;247.25;230.93;228.93;255.52;247.48;207.11;224.58;239.59;237.59;229.29;239.16;163.58;251.8;297.48
2010;Hombres;336.59;290.93;349.65;372.21;332.19;320.8;364.04;372.51;398.46;363.24;389.92;298.27;373.04;336.65;362.23;342.15;316.53;359.35;352.78;274.74;323.63;350.07;351.03;327.08;334.32;207.51;362.32;407.53
2010;Hombres;336.59;290.93;349.65;372.21;332.19;320.8;364.04;372.51;398.46;363.24;389.92;298.27;373.04;336.65;362.23;342.15;316.53;359.35;352.78;274.74;323.63;350.07;351.03;327.08;334.32;207.51;362.32;407.53
2010;Hombres;336.59;290.93;349.65;372.21;332.19;320.8;364.04;372.51;398.46;363.24;389.92;298.27;373.04;336.65;362.23;342.15;316.53;359.35;352.78;274.74;323.63;350.07;351.03;327.08;334.32;207.51;362.32;407.53
2010;Hombres;336.59;290.93;349.65;372.21;332.19;320.8;364.04;372.51;398.46;363.24;389.92;298.27;373.04;336.65;362.23;342.15;316.53;359.35;352.78;274.74;323.63;350.07;351.03;327.08;334.32;207.51;362.32;407.53
2010;Hombres;336.59;290.93;349.65;372.21;332.19;320.8;364.04;372.51;398.46;363.24;389.92;298.27;373.04;336.65;362.23;342.15;316.53;359.35;352.78;274.74;323.63;350.07;351.03;327.08;334.32;207.51;362.32;407.53
