periodo;sexo;comunitat_valenciana;prov_alicante;prov_castellon;prov_valencia;dpto_salud_vinaros;dpto_salud_castello;dpto_salud_laplana;dpto_salud_sagunt;dpto_salud_clinic_malvarrosa;dpto_salud_vilanova_lliria;dpto_salud_valencia_lafe;dpto_salud_requena;dpto_salud_valencia_hospital_general;dpto_salud_doctor_peset;dpto_salud_ribera;dpto_salud_gandia;dpto_salud_denia;dpto_salud_xativa_ontinyent;dpto_salud_alcoi;dpto_salud_marina_baixa;dpto_salud_sant_joan_alacant;dpto_salud_elda;dpto_salud_alacant_hospital_general;dpto_salud_elx_hospital_general;dpto_salud_orihuela;dpto_salud_torrevieja;dpto_salud_manises;dpto_salud_elx_crevillent
2010;Ambos sexos;95.99;101.95;85.39;94.27;74.68;88.62;74.7;86.21;77.25;107.2;85.33;99.66;91.35;85.9;95.33;84.3;104.87;104.05;94.74;133.05;118.01;79.17;121.81;80.31;95.76;80.97;100.4;122.45
2010;Ambos sexos;95.99;101.95;85.39;94.27;74.68;88.62;74.7;86.21;77.25;107.2;85.33;99.66;91.35;85.9;95.33;84.3;104.87;104.05;94.74;133.05;118.01;79.17;121.81;80.31;95.76;80.97;100.4;122.45
2010;Ambos sexos;95.99;101.95;85.39;94.27;74.68;88.62;74.7;86.21;77.25;107.2;85.33;99.66;91.35;85.9;95.33;84.3;104.87;104.05;94.74;133.05;118.01;79.17;121.81;80.31;95.76;80.97;100.4;122.45
2010;Ambos sexos;95.99;101.95;85.39;94.27;74.68;88.62;74.7;86.21;77.25;107.2;85.33;99.66;91.35;85.9;95.33;84.3;104.87;104.05;94.74;133.05;118.01;79.17;121.81;80.31;95.76;80.97;100.4;122.45
2010;Ambos sexos;95.99;101.95;85.39;94.27;74.68;88.62;74.7;86.21;77.25;107.2;85.33;99.66;91.35;85.9;95.33;84.3;104.87;104.05;94.74;133.05;118.01;79.17;121.81;80.31;95.76;80.97;100.4;122.45
2010;Hombres;135.85;134.51;117.62;141.88;99.27;117.39;106.53;129.56;126.4;149.36;142.61;116.1;134.08;130.85;139.49;132.83;146.01;158.66;141.51;155.3;142.21;115.46;166.18;128.01;148.24;115.86;143.86;167.19
2010;Hombres;135.85;134.51;117.62;141.88;99.27;117.39;106.53;129.56;126.4;149.36;142.61;116.1;134.08;130.85;139.49;132.83;146.01;158.66;141.51;155.3;142.21;115.46;166.18;128.01;148.24;115.86;143.86;167.19
2010;Hombres;135.85;134.51;117.62;141.88;99.27;117.39;106.53;129.56;126.4;149.36;142.61;116.1;134.08;130.85;139.49;132.83;146.01;158.66;141.51;155.3;142.21;115.46;166.18;128.01;148.24;115.86;143.86;167.19
2010;Hombres;135.85;134.51;117.62;141.88;99.27;117.39;106.53;129.56;126.4;149.36;142.61;116.1;134.08;130.85;139.49;132.83;146.01;158.66;141.51;155.3;142.21;115.46;166.18;128.01;148.24;115.86;143.86;167.19
2010;Hombres;135.85;134.51;117.62;141.88;99.27;117.39;106.53;129.56;126.4;149.36;142.61;116.1;134.08;130.85;139.49;132.83;146.01;158.66;141.51;155.3;142.21;115.46;166.18;128.01;148.24;115.86;143.86;167.19
2010;Mujeres;65.73;75.13;60.66;60.41;55.8;64.77;51.22;53.25;44.61;69.24;48.96;84.29;62.03;55.36;65.19;48.13;68.45;64.87;62.77;112.83;98.7;53.75;88.79;42.7;54.96;49.03;65.57;90.63
