periodo;sexo;comunitat_valenciana;prov_alicante;prov_castellon;prov_valencia;dpto_salud_vinaros;dpto_salud_castello;dpto_salud_laplana;dpto_salud_sagunt;dpto_salud_clinic_malvarrosa;dpto_salud_vilanova_lliria;dpto_salud_valencia_lafe;dpto_salud_requena;dpto_salud_valencia_hospital_general;dpto_salud_doctor_peset;dpto_salud_ribera;dpto_salud_gandia;dpto_salud_denia;dpto_salud_xativa_ontinyent;dpto_salud_alcoi;dpto_salud_marina_baixa;dpto_salud_sant_joan_alacant;dpto_salud_elda;dpto_salud_alacant_hospital_general;dpto_salud_elx_hospital_general;dpto_salud_orihuela;dpto_salud_torrevieja;dpto_salud_manises;dpto_salud_elx_crevillent
2010;Ambos sexos;77.81;76.14;82.02;78.04;76.68;72.66;94.45;65.11;67.29;84.13;68.1;98.48;67.97;61.45;90.69;82.03;63.36;86.92;85.74;60.67;63.86;110.34;74.58;70.87;105.08;56.17;79.86;105.89
2010;Ambos sexos;77.81;76.14;82.02;78.04;76.68;72.66;94.45;65.11;67.29;84.13;68.1;98.48;67.97;61.45;90.69;82.03;63.36;86.92;85.74;60.67;63.86;110.34;74.58;70.87;105.08;56.17;79.86;105.89
2010;Ambos sexos;77.81;76.14;82.02;78.04;76.68;72.66;94.45;65.11;67.29;84.13;68.1;98.48;67.97;61.45;90.69;82.03;63.36;86.92;85.74;60.67;63.86;110.34;74.58;70.87;105.08;56.17;79.86;105.89
2010;Ambos sexos;77.81;76.14;82.02;78.04;76.68;72.66;94.45;65.11;67.29;84.13;68.1;98.48;67.97;61.45;90.69;82.03;63.36;86.92;85.74;60.67;63.86;110.34;74.58;70.87;105.08;56.17;79.86;105.89
2010;Ambos sexos;77.81;76.14;82.02;78.04;76.68;72.66;94.45;65.11;67.29;84.13;68.1;98.48;67.97;61.45;90.69;82.03;63.36;86.92;85.74;60.67;63.86;110.34;74.58;70.87;105.08;56.17;79.86;105.89
2010;Hombres;82.84;80.68;87.68;83.32;95.51;76.15;102.44;77.93;59.59;83.68;70.38;119.47;73.49;65.45;90.31;83.51;64.8;105.59;89.33;69.39;71.1;130.97;91.5;83.96;123.83;50.27;89;101.53
2010;Hombres;82.84;80.68;87.68;83.32;95.51;76.15;102.44;77.93;59.59;83.68;70.38;119.47;73.49;65.45;90.31;83.51;64.8;105.59;89.33;69.39;71.1;130.97;91.5;83.96;123.83;50.27;89;101.53
2010;Hombres;82.84;80.68;87.68;83.32;95.51;76.15;102.44;77.93;59.59;83.68;70.38;119.47;73.49;65.45;90.31;83.51;64.8;105.59;89.33;69.39;71.1;130.97;91.5;83.96;123.83;50.27;89;101.53
2010;Hombres;82.84;80.68;87.68;83.32;95.51;76.15;102.44;77.93;59.59;83.68;70.38;119.47;73.49;65.45;90.31;83.51;64.8;105.59;89.33;69.39;71.1;130.97;91.5;83.96;123.83;50.27;89;101.53
2010;Hombres;82.84;80.68;87.68;83.32;95.51;76.15;102.44;77.93;59.59;83.68;70.38;119.47;73.49;65.45;90.31;83.51;64.8;105.59;89.33;69.39;71.1;130.97;91.5;83.96;123.83;50.27;89;101.53
