periodo;sexo;comunitat_valenciana;prov_alicante;prov_castellon;prov_valencia;dpto_salud_vinaros;dpto_salud_castello;dpto_salud_laplana;dpto_salud_sagunt;dpto_salud_clinic_malvarrosa;dpto_salud_vilanova_lliria;dpto_salud_valencia_lafe;dpto_salud_requena;dpto_salud_valencia_hospital_general;dpto_salud_doctor_peset;dpto_salud_ribera;dpto_salud_gandia;dpto_salud_denia;dpto_salud_xativa_ontinyent;dpto_salud_alcoi;dpto_salud_marina_baixa;dpto_salud_sant_joan_alacant;dpto_salud_elda;dpto_salud_alacant_hospital_general;dpto_salud_elx_hospital_general;dpto_salud_orihuela;dpto_salud_torrevieja;dpto_salud_manises;dpto_salud_elx_crevillent
2010;Ambos sexos;911.19;836.77;914.09;967.93;883.99;859.44;947.25;892.3;908.49;947.73;919.17;1035.37;921.41;883.21;998.24;921.64;871.02;1002.06;932.22;798.57;814.78;926.31;896.46;794.62;996.02;649.22;945.41;1089.69
2010;Ambos sexos;911.19;836.77;914.09;967.93;883.99;859.44;947.25;892.3;908.49;947.73;919.17;1035.37;921.41;883.21;998.24;921.64;871.02;1002.06;932.22;798.57;814.78;926.31;896.46;794.62;996.02;649.22;945.41;1089.69
2010;Ambos sexos;911.19;836.77;914.09;967.93;883.99;859.44;947.25;892.3;908.49;947.73;919.17;1035.37;921.41;883.21;998.24;921.64;871.02;1002.06;932.22;798.57;814.78;926.31;896.46;794.62;996.02;649.22;945.41;1089.69
2010;Ambos sexos;911.19;836.77;914.09;967.93;883.99;859.44;947.25;892.3;908.49;947.73;919.17;1035.37;921.41;883.21;998.24;921.64;871.02;1002.06;932.22;798.57;814.78;926.31;896.46;794.62;996.02;649.22;945.41;1089.69
2010;Ambos sexos;911.19;836.77;914.09;967.93;883.99;859.44;947.25;892.3;908.49;947.73;919.17;1035.37;921.41;883.21;998.24;921.64;871.02;1002.06;932.22;798.57;814.78;926.31;896.46;794.62;996.02;649.22;945.41;1089.69
2010;Hombres;1153.39;1019.95;1145.83;1267.63;1151.62;1072.25;1186.17;1124.02;1219.11;1217.05;1317.68;1232.67;1219.47;1120.94;1263.71;1220.49;1060.25;1300.84;1170.29;980.66;1067.74;1210.76;1208.84;1014.11;1206.81;767.62;1196.84;1297.58
2010;Hombres;1153.39;1019.95;1145.83;1267.63;1151.62;1072.25;1186.17;1124.02;1219.11;1217.05;1317.68;1232.67;1219.47;1120.94;1263.71;1220.49;1060.25;1300.84;1170.29;980.66;1067.74;1210.76;1208.84;1014.11;1206.81;767.62;1196.84;1297.58
2010;Hombres;1153.39;1019.95;1145.83;1267.63;1151.62;1072.25;1186.17;1124.02;1219.11;1217.05;1317.68;1232.67;1219.47;1120.94;1263.71;1220.49;1060.25;1300.84;1170.29;980.66;1067.74;1210.76;1208.84;1014.11;1206.81;767.62;1196.84;1297.58
2010;Hombres;1153.39;1019.95;1145.83;1267.63;1151.62;1072.25;1186.17;1124.02;1219.11;1217.05;1317.68;1232.67;1219.47;1120.94;1263.71;1220.49;1060.25;1300.84;1170.29;980.66;1067.74;1210.76;1208.84;1014.11;1206.81;767.62;1196.84;1297.58
2010;Hombres;1153.39;1019.95;1145.83;1267.63;1151.62;1072.25;1186.17;1124.02;1219.11;1217.05;1317.68;1232.67;1219.47;1120.94;1263.71;1220.49;1060.25;1300.84;1170.29;980.66;1067.74;1210.76;1208.84;1014.11;1206.81;767.62;1196.84;1297.58
2010;Mujeres;724.76;683.45;734.25;752.16;673.27;691.67;766.95;704.54;690.43;741.94;657.57;866.61;718.54;719.83;794.13;693.84;702.38;771.54;751.2;645.67;632.25;717.59;672.05;619.91;815.46;532.57;743.7;925.07
2010;Mujeres;724.76;683.45;734.25;752.16;673.27;691.67;766.95;704.54;690.43;741.94;657.57;866.61;718.54;719.83;794.13;693.84;702.38;771.54;751.2;645.67;632.25;717.59;672.05;619.91;815.46;532.57;743.7;925.07
2010;Mujeres;724.76;683.45;734.25;752.16;673.27;691.67;766.95;704.54;690.43;741.94;657.57;866.61;718.54;719.83;794.13;693.84;702.38;771.54;751.2;645.67;632.25;717.59;672.05;619.91;815.46;532.57;743.7;925.07
2010;Mujeres;724.76;683.45;734.25;752.16;673.27;691.67;766.95;704.54;690.43;741.94;657.57;866.61;718.54;719.83;794.13;693.84;702.38;771.54;751.2;645.67;632.25;717.59;672.05;619.91;815.46;532.57;743.7;925.07
2010;Mujeres;724.76;683.45;734.25;752.16;673.27;691.67;766.95;704.54;690.43;741.94;657.57;866.61;718.54;719.83;794.13;693.84;702.38;771.54;751.2;645.67;632.25;717.59;672.05;619.91;815.46;532.57;743.7;925.07
2011;Ambos sexos;894.28;815.33;908.44;951.66;898.83;838.53;964.44;916.52;853.05;921.16;862.57;984.98;919.46;920.91;1009.33;929.21;830.32;957.23;908.57;795.96;830.09;867.37;943.97;826.68;1021.46;631.06;935.9;896.18
2011;Ambos sexos;894.28;815.33;908.44;951.66;898.83;838.53;964.44;916.52;853.05;921.16;862.57;984.98;919.46;920.91;1009.33;929.21;830.32;957.23;908.57;795.96;830.09;867.37;943.97;826.68;1021.46;631.06;935.9;896.18
2011;Ambos sexos;894.28;815.33;908.44;951.66;898.83;838.53;964.44;916.52;853.05;921.16;862.57;984.98;919.46;920.91;1009.33;929.21;830.32;957.23;908.57;795.96;830.09;867.37;943.97;826.68;1021.46;631.06;935.9;896.18
2011;Ambos sexos;894.28;815.33;908.44;951.66;898.83;838.53;964.44;916.52;853.05;921.16;862.57;984.98;919.46;920.91;1009.33;929.21;830.32;957.23;908.57;795.96;830.09;867.37;943.97;826.68;1021.46;631.06;935.9;896.18
2011;Ambos sexos;894.28;815.33;908.44;951.66;898.83;838.53;964.44;916.52;853.05;921.16;862.57;984.98;919.46;920.91;1009.33;929.21;830.32;957.23;908.57;795.96;830.09;867.37;943.97;826.68;1021.46;631.06;935.9;896.18
2011;Hombres;1128.01;987.01;1151.25;1242.28;1106.22;1071.84;1250.05;1164.85;1135.8;1162.65;1120.24;1189.23;1240.9;1240.98;1281.25;1244.39;1026.57;1228.96;1180.27;971.5;1033.31;1072.94;1228.03;1062.87;1278.02;759.3;1146.12;1116.97
2011;Hombres;1128.01;987.01;1151.25;1242.28;1106.22;1071.84;1250.05;1164.85;1135.8;1162.65;1120.24;1189.23;1240.9;1240.98;1281.25;1244.39;1026.57;1228.96;1180.27;971.5;1033.31;1072.94;1228.03;1062.87;1278.02;759.3;1146.12;1116.97
2011;Hombres;1128.01;987.01;1151.25;1242.28;1106.22;1071.84;1250.05;1164.85;1135.8;1162.65;1120.24;1189.23;1240.9;1240.98;1281.25;1244.39;1026.57;1228.96;1180.27;971.5;1033.31;1072.94;1228.03;1062.87;1278.02;759.3;1146.12;1116.97
2011;Hombres;1128.01;987.01;1151.25;1242.28;1106.22;1071.84;1250.05;1164.85;1135.8;1162.65;1120.24;1189.23;1240.9;1240.98;1281.25;1244.39;1026.57;1228.96;1180.27;971.5;1033.31;1072.94;1228.03;1062.87;1278.02;759.3;1146.12;1116.97
2011;Hombres;1128.01;987.01;1151.25;1242.28;1106.22;1071.84;1250.05;1164.85;1135.8;1162.65;1120.24;1189.23;1240.9;1240.98;1281.25;1244.39;1026.57;1228.96;1180.27;971.5;1033.31;1072.94;1228.03;1062.87;1278.02;759.3;1146.12;1116.97
2011;Mujeres;712.22;667.18;716.44;743.24;716.17;656.46;748.02;717.28;665.57;728.41;680.85;811.56;691.39;711.3;798.64;698.28;650.78;758.25;713.81;637.64;672.69;707.23;741.1;641.51;809.64;501.26;765.37;725.29
2011;Mujeres;712.22;667.18;716.44;743.24;716.17;656.46;748.02;717.28;665.57;728.41;680.85;811.56;691.39;711.3;798.64;698.28;650.78;758.25;713.81;637.64;672.69;707.23;741.1;641.51;809.64;501.26;765.37;725.29
2011;Mujeres;712.22;667.18;716.44;743.24;716.17;656.46;748.02;717.28;665.57;728.41;680.85;811.56;691.39;711.3;798.64;698.28;650.78;758.25;713.81;637.64;672.69;707.23;741.1;641.51;809.64;501.26;765.37;725.29
2011;Mujeres;712.22;667.18;716.44;743.24;716.17;656.46;748.02;717.28;665.57;728.41;680.85;811.56;691.39;711.3;798.64;698.28;650.78;758.25;713.81;637.64;672.69;707.23;741.1;641.51;809.64;501.26;765.37;725.29
2011;Mujeres;712.22;667.18;716.44;743.24;716.17;656.46;748.02;717.28;665.57;728.41;680.85;811.56;691.39;711.3;798.64;698.28;650.78;758.25;713.81;637.64;672.69;707.23;741.1;641.51;809.64;501.26;765.37;725.29
2012;Ambos sexos;901.1;839.18;889.69;951.63;889.6;871.6;913.07;944.57;870.99;998.64;873.61;899.74;916.67;820.27;1038.59;979.78;953.8;1029.41;980.74;938.77;878.07;979.55;914.27;882.67;907.69;797.74;1009.99;1000.92
2012;Ambos sexos;901.1;839.18;889.69;951.63;889.6;871.6;913.07;944.57;870.99;998.64;873.61;899.74;916.67;820.27;1038.59;979.78;953.8;1029.41;980.74;938.77;878.07;979.55;914.27;882.67;907.69;797.74;1009.99;1000.92
2012;Ambos sexos;901.1;839.18;889.69;951.63;889.6;871.6;913.07;944.57;870.99;998.64;873.61;899.74;916.67;820.27;1038.59;979.78;953.8;1029.41;980.74;938.77;878.07;979.55;914.27;882.67;907.69;797.74;1009.99;1000.92
2012;Ambos sexos;901.1;839.18;889.69;951.63;889.6;871.6;913.07;944.57;870.99;998.64;873.61;899.74;916.67;820.27;1038.59;979.78;953.8;1029.41;980.74;938.77;878.07;979.55;914.27;882.67;907.69;797.74;1009.99;1000.92
2012;Ambos sexos;901.1;839.18;889.69;951.63;889.6;871.6;913.07;944.57;870.99;998.64;873.61;899.74;916.67;820.27;1038.59;979.78;953.8;1029.41;980.74;938.77;878.07;979.55;914.27;882.67;907.69;797.74;1009.99;1000.92
2012;Hombres;1131.16;1024.58;1151.58;1217.06;1170.69;1144.17;1163.34;1230.37;1141.81;1186.76;1155.92;1026.43;1167.61;1094.71;1343.95;1253.41;1162.46;1257.48;1264.59;1199.31;1127.81;1204.71;1218.86;1163.07;1193.18;973.51;1275.07;1246.56
2012;Hombres;1131.16;1024.58;1151.58;1217.06;1170.69;1144.17;1163.34;1230.37;1141.81;1186.76;1155.92;1026.43;1167.61;1094.71;1343.95;1253.41;1162.46;1257.48;1264.59;1199.31;1127.81;1204.71;1218.86;1163.07;1193.18;973.51;1275.07;1246.56
2012;Hombres;1131.16;1024.58;1151.58;1217.06;1170.69;1144.17;1163.34;1230.37;1141.81;1186.76;1155.92;1026.43;1167.61;1094.71;1343.95;1253.41;1162.46;1257.48;1264.59;1199.31;1127.81;1204.71;1218.86;1163.07;1193.18;973.51;1275.07;1246.56
2012;Hombres;1131.16;1024.58;1151.58;1217.06;1170.69;1144.17;1163.34;1230.37;1141.81;1186.76;1155.92;1026.43;1167.61;1094.71;1343.95;1253.41;1162.46;1257.48;1264.59;1199.31;1127.81;1204.71;1218.86;1163.07;1193.18;973.51;1275.07;1246.56
2012;Hombres;1131.16;1024.58;1151.58;1217.06;1170.69;1144.17;1163.34;1230.37;1141.81;1186.76;1155.92;1026.43;1167.61;1094.71;1343.95;1253.41;1162.46;1257.48;1264.59;1199.31;1127.81;1204.71;1218.86;1163.07;1193.18;973.51;1275.07;1246.56
2012;Mujeres;719.33;679.16;685.44;756.35;659.58;665.45;715.88;717.58;673.14;842.74;681.88;781.38;747.26;632.83;796.46;771.02;772.58;849.16;762.49;719.29;692.3;805.14;695.43;675.35;673.58;631.65;804.58;799.62
2012;Mujeres;719.33;679.16;685.44;756.35;659.58;665.45;715.88;717.58;673.14;842.74;681.88;781.38;747.26;632.83;796.46;771.02;772.58;849.16;762.49;719.29;692.3;805.14;695.43;675.35;673.58;631.65;804.58;799.62
2012;Mujeres;719.33;679.16;685.44;756.35;659.58;665.45;715.88;717.58;673.14;842.74;681.88;781.38;747.26;632.83;796.46;771.02;772.58;849.16;762.49;719.29;692.3;805.14;695.43;675.35;673.58;631.65;804.58;799.62
2012;Mujeres;719.33;679.16;685.44;756.35;659.58;665.45;715.88;717.58;673.14;842.74;681.88;781.38;747.26;632.83;796.46;771.02;772.58;849.16;762.49;719.29;692.3;805.14;695.43;675.35;673.58;631.65;804.58;799.62
2012;Mujeres;719.33;679.16;685.44;756.35;659.58;665.45;715.88;717.58;673.14;842.74;681.88;781.38;747.26;632.83;796.46;771.02;772.58;849.16;762.49;719.29;692.3;805.14;695.43;675.35;673.58;631.65;804.58;799.62
2013;Ambos sexos;842.79;778.3;870.75;886.46;866.71;859.69;878.37;907.93;823.23;927.26;833.52;876.42;883.06;765.74;937.77;920.6;861.8;879.66;907.38;836.96;873.78;846.64;820.03;839.64;880.79;742.53;873.22;920.95
2013;Ambos sexos;842.79;778.3;870.75;886.46;866.71;859.69;878.37;907.93;823.23;927.26;833.52;876.42;883.06;765.74;937.77;920.6;861.8;879.66;907.38;836.96;873.78;846.64;820.03;839.64;880.79;742.53;873.22;920.95
2013;Ambos sexos;842.79;778.3;870.75;886.46;866.71;859.69;878.37;907.93;823.23;927.26;833.52;876.42;883.06;765.74;937.77;920.6;861.8;879.66;907.38;836.96;873.78;846.64;820.03;839.64;880.79;742.53;873.22;920.95
2013;Ambos sexos;842.79;778.3;870.75;886.46;866.71;859.69;878.37;907.93;823.23;927.26;833.52;876.42;883.06;765.74;937.77;920.6;861.8;879.66;907.38;836.96;873.78;846.64;820.03;839.64;880.79;742.53;873.22;920.95
2013;Ambos sexos;842.79;778.3;870.75;886.46;866.71;859.69;878.37;907.93;823.23;927.26;833.52;876.42;883.06;765.74;937.77;920.6;861.8;879.66;907.38;836.96;873.78;846.64;820.03;839.64;880.79;742.53;873.22;920.95
2013;Hombres;1045.37;931.36;1089.26;1134.53;1115.96;1086.83;1088.88;1102.55;1088.56;1177.36;1056.18;1034.75;1158.47;1010.41;1198.83;1169.53;1038.12;1046.71;1150.04;1050.86;1105.97;1065.01;1075.55;1089.05;1021.66;905.51;1097.94;1097.29
2013;Hombres;1045.37;931.36;1089.26;1134.53;1115.96;1086.83;1088.88;1102.55;1088.56;1177.36;1056.18;1034.75;1158.47;1010.41;1198.83;1169.53;1038.12;1046.71;1150.04;1050.86;1105.97;1065.01;1075.55;1089.05;1021.66;905.51;1097.94;1097.29
2013;Hombres;1045.37;931.36;1089.26;1134.53;1115.96;1086.83;1088.88;1102.55;1088.56;1177.36;1056.18;1034.75;1158.47;1010.41;1198.83;1169.53;1038.12;1046.71;1150.04;1050.86;1105.97;1065.01;1075.55;1089.05;1021.66;905.51;1097.94;1097.29
2013;Hombres;1045.37;931.36;1089.26;1134.53;1115.96;1086.83;1088.88;1102.55;1088.56;1177.36;1056.18;1034.75;1158.47;1010.41;1198.83;1169.53;1038.12;1046.71;1150.04;1050.86;1105.97;1065.01;1075.55;1089.05;1021.66;905.51;1097.94;1097.29
2013;Hombres;1045.37;931.36;1089.26;1134.53;1115.96;1086.83;1088.88;1102.55;1088.56;1177.36;1056.18;1034.75;1158.47;1010.41;1198.83;1169.53;1038.12;1046.71;1150.04;1050.86;1105.97;1065.01;1075.55;1089.05;1021.66;905.51;1097.94;1097.29
