periodo;sexo;comunitat_valenciana;prov_alicante;prov_castellon;prov_valencia;dpto_salud_vinaros;dpto_salud_castello;dpto_salud_laplana;dpto_salud_sagunt;dpto_salud_clinic_malvarrosa;dpto_salud_vilanova_lliria;dpto_salud_valencia_lafe;dpto_salud_requena;dpto_salud_valencia_hospital_general;dpto_salud_doctor_peset;dpto_salud_ribera;dpto_salud_gandia;dpto_salud_denia;dpto_salud_xativa_ontinyent;dpto_salud_alcoi;dpto_salud_marina_baixa;dpto_salud_sant_joan_alacant;dpto_salud_elda;dpto_salud_alacant_hospital_general;dpto_salud_elx_hospital_general;dpto_salud_orihuela;dpto_salud_torrevieja;dpto_salud_manises;dpto_salud_elx_crevillent
2010;Ambos sexos;7.68;7.4;8.02;7.84;6.29;8.76;7.75;5.68;7.32;7.02;7.32;30.04;9.25;7.23;5.56;3.81;12.16;8.12;11.11;11.05;5.01;5.78;7.97;4.63;4.32;9.17;8.18;6.47
2010;Ambos sexos;7.68;7.4;8.02;7.84;6.29;8.76;7.75;5.68;7.32;7.02;7.32;30.04;9.25;7.23;5.56;3.81;12.16;8.12;11.11;11.05;5.01;5.78;7.97;4.63;4.32;9.17;8.18;6.47
2010;Ambos sexos;7.68;7.4;8.02;7.84;6.29;8.76;7.75;5.68;7.32;7.02;7.32;30.04;9.25;7.23;5.56;3.81;12.16;8.12;11.11;11.05;5.01;5.78;7.97;4.63;4.32;9.17;8.18;6.47
2010;Ambos sexos;7.68;7.4;8.02;7.84;6.29;8.76;7.75;5.68;7.32;7.02;7.32;30.04;9.25;7.23;5.56;3.81;12.16;8.12;11.11;11.05;5.01;5.78;7.97;4.63;4.32;9.17;8.18;6.47
2010;Ambos sexos;7.68;7.4;8.02;7.84;6.29;8.76;7.75;5.68;7.32;7.02;7.32;30.04;9.25;7.23;5.56;3.81;12.16;8.12;11.11;11.05;5.01;5.78;7.97;4.63;4.32;9.17;8.18;6.47
2010;Hombres;12.06;10.85;12.2;13.08;10.16;13.66;10.58;9.94;14.01;12.46;9.46;57.9;13.39;10.91;7.3;6.17;16.34;15.19;18.62;14.19;6.63;7.43;13.48;8.4;7.45;11.95;14.85;11.2
2010;Hombres;12.06;10.85;12.2;13.08;10.16;13.66;10.58;9.94;14.01;12.46;9.46;57.9;13.39;10.91;7.3;6.17;16.34;15.19;18.62;14.19;6.63;7.43;13.48;8.4;7.45;11.95;14.85;11.2
2010;Hombres;12.06;10.85;12.2;13.08;10.16;13.66;10.58;9.94;14.01;12.46;9.46;57.9;13.39;10.91;7.3;6.17;16.34;15.19;18.62;14.19;6.63;7.43;13.48;8.4;7.45;11.95;14.85;11.2
2010;Hombres;12.06;10.85;12.2;13.08;10.16;13.66;10.58;9.94;14.01;12.46;9.46;57.9;13.39;10.91;7.3;6.17;16.34;15.19;18.62;14.19;6.63;7.43;13.48;8.4;7.45;11.95;14.85;11.2
2010;Hombres;12.06;10.85;12.2;13.08;10.16;13.66;10.58;9.94;14.01;12.46;9.46;57.9;13.39;10.91;7.3;6.17;16.34;15.19;18.62;14.19;6.63;7.43;13.48;8.4;7.45;11.95;14.85;11.2
