periodo;sexo;provincia;nivel_geografico;ubicacion;causa_mortalidad;tasa_mortalidad;esperanza_vida
2010;Ambos sexos;Comunitat Valenciana;COMUNIDAD AUTÓNOMA;Comunitat Valenciana;Cancer;233.7;20.6
2010;Ambos sexos;Alicante;DEPARTAMENTO;Alacant Hospital General;Cancer;237.59;20.8
2010;Ambos sexos;Alicante;DEPARTAMENTO;Alcoi;Cancer;247.48;20.2
2010;Ambos sexos;Valencia;DEPARTAMENTO;Arnau de Vilanova-Llíria;Cancer;242.59;20.3
2010;Ambos sexos;Castellón;DEPARTAMENTO;Castelló;Cancer;226.0;21.1
2010;Ambos sexos;Valencia;DEPARTAMENTO;Clínic-Malvarrosa;Cancer;254.04;20.5
2010;Ambos sexos;Valencia;DEPARTAMENTO;Doctor Peset;Cancer;241.04;20.9
2010;Ambos sexos;Alicante;DEPARTAMENTO;Dénia;Cancer;228.93;21.3
2010;Ambos sexos;Alicante;DEPARTAMENTO;Elda;Cancer;239.59;20.2
2010;Ambos sexos;Alicante;DEPARTAMENTO;Elx Hospital General;Cancer;229.29;21.6
2010;Ambos sexos;Alicante;DEPARTAMENTO;Elx-Crevillent;Cancer;297.48;19.0
2010;Ambos sexos;Valencia;DEPARTAMENTO;Gandia;Cancer;230.93;20.6
2010;Ambos sexos;Castellón;DEPARTAMENTO;La Plana;Cancer;244.93;20.2
2010;Ambos sexos;Valencia;DEPARTAMENTO;Manises;Cancer;251.8;20.2
2010;Ambos sexos;Alicante;DEPARTAMENTO;Marina Baixa;Cancer;207.11;22.3
2010;Ambos sexos;Alicante;DEPARTAMENTO;Orihuela;Cancer;239.16;19.8
2010;Ambos sexos;Valencia;DEPARTAMENTO;Requena;Cancer;218.78;19.5
2010;Ambos sexos;Valencia;DEPARTAMENTO;Ribera;Cancer;247.25;19.8
2010;Ambos sexos;Valencia;DEPARTAMENTO;Sagunt;Cancer;247.24;20.8
2010;Ambos sexos;Alicante;DEPARTAMENTO;Sant Joan d'Alacant;Cancer;224.58;21.5
2010;Ambos sexos;Alicante;DEPARTAMENTO;Torrevieja;Cancer;163.58;24.9
2010;Ambos sexos;Valencia;DEPARTAMENTO;Valencia Hospital General;Cancer;248.35;20.6
2010;Ambos sexos;Valencia;DEPARTAMENTO;Valencia La Fe;Cancer;248.49;20.5
2010;Ambos sexos;Castellón;DEPARTAMENTO;Vinaròs;Cancer;216.99;20.8
2010;Ambos sexos;Valencia;DEPARTAMENTO;Xàtiva-Ontinyent;Cancer;255.52;19.8
2010;Ambos sexos;Alicante;PROVINCIA;Alicante;Cancer;211.81;21.3
2010;Ambos sexos;Castellón;PROVINCIA;Castellón;Cancer;236.63;20.5
2010;Ambos sexos;Valencia;PROVINCIA;Valencia;Cancer;250.62;20.1
2010;Hombres;Comunitat Valenciana;COMUNIDAD AUTÓNOMA;Comunitat Valenciana;Cancer;336.59;18.5
2010;Hombres;Alicante;DEPARTAMENTO;Alacant Hospital General;Cancer;351.03;18.1
2010;Hombres;Alicante;DEPARTAMENTO;Alcoi;Cancer;352.78;18.1
2010;Hombres;Valencia;DEPARTAMENTO;Arnau de Vilanova-Llíria;Cancer;363.24;18.0
2010;Hombres;Castellón;DEPARTAMENTO;Castelló;Cancer;320.8;19.1
2010;Hombres;Valencia;DEPARTAMENTO;Clínic-Malvarrosa;Cancer;398.46;17.8
2010;Hombres;Valencia;DEPARTAMENTO;Doctor Peset;Cancer;336.65;18.8
2010;Hombres;Alicante;DEPARTAMENTO;Dénia;Cancer;316.53;19.6
2010;Hombres;Alicante;DEPARTAMENTO;Elda;Cancer;350.07;17.9
2010;Hombres;Alicante;DEPARTAMENTO;Elx Hospital General;Cancer;327.08;19.4
2010;Hombres;Alicante;DEPARTAMENTO;Elx-Crevillent;Cancer;407.53;17.4
2010;Hombres;Valencia;DEPARTAMENTO;Gandia;Cancer;342.15;18.0
2010;Hombres;Castellón;DEPARTAMENTO;La Plana;Cancer;364.04;18.2
2010;Hombres;Valencia;DEPARTAMENTO;Manises;Cancer;362.32;18.2
2010;Hombres;Alicante;DEPARTAMENTO;Marina Baixa;Cancer;274.74;20.2
2010;Hombres;Alicante;DEPARTAMENTO;Orihuela;Cancer;334.32;18.2
2010;Hombres;Valencia;DEPARTAMENTO;Requena;Cancer;298.27;18.2
2010;Hombres;Valencia;DEPARTAMENTO;Ribera;Cancer;362.23;17.7
2010;Hombres;Valencia;DEPARTAMENTO;Sagunt;Cancer;372.51;18.8
2010;Hombres;Alicante;DEPARTAMENTO;Sant Joan d'Alacant;Cancer;323.63;19.2
2010;Hombres;Alicante;DEPARTAMENTO;Torrevieja;Cancer;207.51;23.7
2010;Hombres;Valencia;DEPARTAMENTO;Valencia Hospital General;Cancer;373.04;18.1
2010;Hombres;Valencia;DEPARTAMENTO;Valencia La Fe;Cancer;389.92;17.4
2010;Hombres;Castellón;DEPARTAMENTO;Vinaròs;Cancer;332.19;18.6
2010;Hombres;Valencia;DEPARTAMENTO;Xàtiva-Ontinyent;Cancer;359.35;17.6
2010;Hombres;Alicante;PROVINCIA;Alicante;Cancer;290.93;19.7
2010;Hombres;Castellón;PROVINCIA;Castellón;Cancer;349.65;18.5
2010;Hombres;Valencia;PROVINCIA;Valencia;Cancer;372.21;17.7
2010;Mujeres;Comunitat Valenciana;COMUNIDAD AUTÓNOMA;Comunitat Valenciana;Cancer;157.11;22.4
2010;Mujeres;Alicante;DEPARTAMENTO;Alacant Hospital General;Cancer;156.78;23.1
2010;Mujeres;Alicante;DEPARTAMENTO;Alcoi;Cancer;168.45;22.2
2010;Mujeres;Valencia;DEPARTAMENTO;Arnau de Vilanova-Llíria;Cancer;156.71;22.3
2010;Mujeres;Castellón;DEPARTAMENTO;Castelló;Cancer;156.81;22.9
2010;Mujeres;Valencia;DEPARTAMENTO;Clínic-Malvarrosa;Cancer;153.09;22.8
2010;Mujeres;Valencia;DEPARTAMENTO;Doctor Peset;Cancer;177.94;22.5
2010;Mujeres;Alicante;DEPARTAMENTO;Dénia;Cancer;157.33;22.9
2010;Mujeres;Alicante;DEPARTAMENTO;Elda;Cancer;157.56;22.3
2010;Mujeres;Alicante;DEPARTAMENTO;Elx Hospital General;Cancer;152.11;23.7
2010;Mujeres;Alicante;DEPARTAMENTO;Elx-Crevillent;Cancer;216.47;20.4
2010;Mujeres;Valencia;DEPARTAMENTO;Gandia;Cancer;145.49;23.1
2010;Mujeres;Castellón;DEPARTAMENTO;La Plana;Cancer;157.28;22.0
2010;Mujeres;Valencia;DEPARTAMENTO;Manises;Cancer;170.91;22.1
2010;Mujeres;Alicante;DEPARTAMENTO;Marina Baixa;Cancer;153.84;24.3
2010;Mujeres;Alicante;DEPARTAMENTO;Orihuela;Cancer;161.78;21.2
2010;Mujeres;Valencia;DEPARTAMENTO;Requena;Cancer;150.3;20.8
2010;Mujeres;Valencia;DEPARTAMENTO;Ribera;Cancer;162.2;21.7
2010;Mujeres;Valencia;DEPARTAMENTO;Sagunt;Cancer;152.31;22.5
2010;Mujeres;Alicante;DEPARTAMENTO;Sant Joan d'Alacant;Cancer;155.99;23.5
2010;Mujeres;Alicante;DEPARTAMENTO;Torrevieja;Cancer;122.12;26.3
2010;Mujeres;Valencia;DEPARTAMENTO;Valencia Hospital General;Cancer;165.32;22.6
2010;Mujeres;Valencia;DEPARTAMENTO;Valencia La Fe;Cancer;149.99;23.3
2010;Mujeres;Castellón;DEPARTAMENTO;Vinaròs;Cancer;124.2;23.0
2010;Mujeres;Valencia;DEPARTAMENTO;Xàtiva-Ontinyent;Cancer;172.41;21.9
2010;Mujeres;Alicante;PROVINCIA;Alicante;Cancer;149.22;22.9
2010;Mujeres;Castellón;PROVINCIA;Castellón;Cancer;153.44;22.3
2010;Mujeres;Valencia;PROVINCIA;Valencia;Cancer;163.95;22.1
2010;Ambos sexos;Comunitat Valenciana;COMUNIDAD AUTÓNOMA;Comunitat Valenciana;Cardio;95.99;20.6
2010;Ambos sexos;Alicante;DEPARTAMENTO;Alacant Hospital General;Cardio;121.81;20.8
2010;Ambos sexos;Alicante;DEPARTAMENTO;Alcoi;Cardio;94.74;20.2
2010;Ambos sexos;Valencia;DEPARTAMENTO;Arnau de Vilanova-Llíria;Cardio;107.2;20.3
2010;Ambos sexos;Castellón;DEPARTAMENTO;Castelló;Cardio;88.62;21.1
2010;Ambos sexos;Valencia;DEPARTAMENTO;Clínic-Malvarrosa;Cardio;77.25;20.5
2010;Ambos sexos;Valencia;DEPARTAMENTO;Doctor Peset;Cardio;85.9;20.9
2010;Ambos sexos;Alicante;DEPARTAMENTO;Dénia;Cardio;104.87;21.3
2010;Ambos sexos;Alicante;DEPARTAMENTO;Elda;Cardio;79.17;20.2
